"Testing","Testing"
"Production","Production"
"Data Services","Data Services"
"Environment","Environment"
"Instance ID","Instance ID"
"Instance ID identifies this Magento instance for use with Magento cloud services","Instance ID identifies this Magento instance for use with Magento cloud services"
"Please enter a valid Instance ID.","Please enter a valid Instance ID."
"Failed to generate Instance ID","Failed to generate Instance ID"
"SaaS Environment ID","SaaS Environment ID"
"Provided by Magento","Provided by Magento"
